date,사용자,세션,신규방문자,페이지뷰,cnt_signin,cnt_login,cnt_sub,total_participants,isTrain
2019-08-10,344,379,76,5820,11.0,152.0,114.0,624,1
2019-08-11,320,338,151,3783,6.0,74.0,38.0,624,1
2019-08-12,424,474,118,7714,37.0,161.0,62.0,624,1
2019-08-13,488,524,114,9245,24.0,185.0,116.0,624,1
2019-08-14,362,371,88,6976,7.0,136.0,64.0,624,1
2019-08-15,218,225,51,3090,2.0,72.0,30.0,624,1
2019-08-16,444,459,189,6478,8.0,128.0,38.0,624,1
2019-08-17,329,338,113,3991,5.0,89.0,27.0,624,1
2019-08-18,244,248,66,3394,1.0,81.0,33.0,624,1
2019-08-19,592,610,267,6321,19.0,161.0,36.0,624,1
2019-08-20,507,523,179,5725,16.0,153.0,58.0,624,1
2019-08-21,407,429,117,5370,13.0,140.0,36.0,624,1
2019-08-22,357,373,96,5244,13.0,120.0,55.0,624,1
2019-08-23,309,327,91,4573,8.0,123.0,45.0,624,1
2019-08-24,221,232,65,2787,6.0,74.0,41.0,624,1
2019-08-25,348,366,113,4444,6.0,104.0,32.0,624,1
2019-08-26,406,416,110,6024,6.0,131.0,48.0,624,1
2019-08-27,727,741,297,8904,6.0,176.0,51.0,624,1
2019-08-28,461,464,115,6012,3.0,134.0,76.0,624,1
2019-08-29,429,434,99,6065,5.0,142.0,59.0,624,1
2019-08-30,438,433,87,8176,3.0,200.0,44.0,624,1
2019-08-31,206,216,35,3144,2.0,82.0,30.0,624,1
2019-09-01,222,235,57,3167,5.0,71.0,36.0,624,1
2019-09-02,441,471,131,7531,15.0,156.0,45.0,624,1
2019-09-03,349,370,84,6320,11.0,136.0,31.0,624,1
2019-09-04,369,394,109,5736,10.0,169.0,72.0,624,1
2019-09-05,406,435,108,5916,9.0,237.0,66.0,624,1
2019-09-06,277,294,69,3340,58.0,109.0,3.0,624,1
2019-09-07,219,226,49,3259,12.0,91.0,6.0,624,1
2019-09-08,178,187,52,1956,4.0,72.0,6.0,624,1
2019-09-09,363,391,116,5483,6.0,159.0,5.0,624,1
2019-09-10,269,275,84,3626,7.0,112.0,7.0,624,1
2019-09-11,182,187,57,2716,1.0,74.0,11.0,624,1
2019-09-12,419,417,256,2905,6.0,52.0,7.0,624,1
2019-09-13,327,341,176,2950,13.0,66.0,3.0,624,1
2019-09-14,174,177,72,1270,3.0,41.0,2.0,624,1
2019-09-15,218,235,92,2768,9.0,61.0,10.0,624,1
2019-09-16,505,517,201,7699,13.0,161.0,13.0,624,1
2019-09-17,515,541,179,7960,11.0,202.0,17.0,624,1
2019-09-18,515,527,197,6044,7.0,143.0,24.0,624,1
2019-09-19,437,482,169,5474,34.0,152.0,14.0,624,1
2019-09-20,292,297,101,4033,2.0,76.0,21.0,624,1
2019-09-21,164,171,58,1947,3.0,60.0,15.0,624,1
2019-09-22,160,159,43,1930,2.0,54.0,1.0,624,1
2019-09-23,299,307,77,3903,5.0,95.0,26.0,624,1
2019-09-24,686,750,343,9150,34.0,202.0,8.0,624,1
2019-09-25,928,1085,449,13151,65.0,376.0,18.0,624,1
2019-09-26,557,639,236,8696,40.0,238.0,16.0,624,1
2019-09-27,530,562,190,7234,17.0,229.0,2.0,624,1
2019-09-28,278,321,94,2986,15.0,110.0,11.0,624,1
2019-09-29,306,340,129,4249,16.0,96.0,0.0,624,1
2019-09-30,786,939,350,10565,57.0,361.0,32.0,624,1
2019-10-01,963,1135,360,13001,67.0,497.0,20.0,1102,1
2019-10-02,722,792,217,11477,46.0,367.0,23.0,1102,1
2019-10-03,452,507,137,6135,18.0,213.0,20.0,1102,1
2019-10-04,720,763,254,11152,21.0,371.0,17.0,1102,1
2019-10-05,622,670,273,8142,22.0,178.0,61.0,1102,1
2019-10-06,505,571,181,7417,20.0,207.0,19.0,1102,1
2019-10-07,889,976,289,14473,41.0,427.0,23.0,1102,1
2019-10-08,765,834,218,12226,35.0,486.0,36.0,1102,1
2019-10-09,457,497,109,6924,8.0,234.0,30.0,1102,1
2019-10-10,686,765,184,11133,29.0,389.0,40.0,1102,1
2019-10-11,591,631,133,10898,16.0,360.0,33.0,1102,1
2019-10-12,483,513,192,6529,15.0,203.0,29.0,1102,1
2019-10-13,342,368,88,5197,7.0,172.0,30.0,1102,1
2019-10-14,713,769,185,11501,24.0,381.0,35.0,1102,1
2019-10-15,719,745,212,9165,19.0,294.0,36.0,1102,1
2019-10-16,596,589,141,10357,16.0,287.0,38.0,1102,1
2019-10-17,531,559,104,7729,10.0,251.0,45.0,1102,1
2019-10-18,519,538,123,8141,13.0,218.0,34.0,1102,1
2019-10-19,284,289,63,4017,4.0,130.0,41.0,1102,1
2019-10-20,327,345,64,5431,5.0,130.0,47.0,1102,1
2019-10-21,572,604,120,8657,9.0,260.0,56.0,1102,1
2019-10-22,769,797,273,11471,19.0,268.0,63.0,478,1
2019-10-23,682,704,207,11283,14.0,270.0,66.0,478,1
2019-10-24,520,552,116,8650,16.0,249.0,61.0,478,1
2019-10-25,582,606,131,10676,10.0,237.0,63.0,478,1
2019-10-26,438,464,73,8029,10.0,196.0,81.0,478,1
2019-10-27,529,559,89,10772,22.0,257.0,105.0,478,1
2019-10-28,616,629,148,12957,10.0,280.0,14.0,0,1
2019-10-29,467,511,155,7387,17.0,181.0,10.0,0,1
2019-10-30,343,381,95,4961,10.0,133.0,8.0,0,1
2019-10-31,448,470,137,6198,15.0,150.0,8.0,0,1
2019-11-01,1442,1690,741,16463,127.0,407.0,7.0,0,1
2019-11-02,440,479,184,4276,22.0,125.0,3.0,0,1
2019-11-03,361,382,155,4335,10.0,95.0,4.0,0,1
2019-11-04,724,760,330,8480,20.0,190.0,1.0,0,1
2019-11-05,606,612,226,7799,17.0,163.0,0.0,0,1
2019-11-06,996,1015,445,8445,17.0,147.0,1.0,0,1
2019-11-07,674,709,289,7974,22.0,142.0,5.0,0,1
2019-11-08,438,442,159,5466,10.0,88.0,6.0,0,1
2019-11-09,270,282,92,2824,8.0,49.0,0.0,0,1
2019-11-10,340,349,110,4237,9.0,84.0,3.0,0,1
2019-11-11,1495,1531,650,19148,54.0,288.0,36.0,1308,1
2019-11-12,1862,1869,789,24938,43.0,396.0,69.0,1308,1
2019-11-13,1403,1414,495,20456,24.0,335.0,89.0,1308,1
2019-11-14,1192,1212,386,18194,35.0,343.0,114.0,1308,1
2019-11-15,1089,1099,349,16024,42.0,311.0,90.0,1308,1
2019-11-16,756,761,217,11399,14.0,211.0,80.0,1308,1
2019-11-17,790,832,153,12645,24.0,238.0,99.0,1308,1
2019-11-18,1217,1267,329,17315,36.0,394.0,99.0,1308,1
2019-11-19,1282,1312,359,20903,49.0,449.0,90.0,1308,1
2019-11-20,1546,1603,479,21410,49.0,497.0,104.0,1662,1
2019-11-21,1662,1759,454,26755,64.0,673.0,121.0,2598,1
2019-11-22,1449,1525,394,21633,52.0,499.0,98.0,2598,1
2019-11-23,1134,1162,273,17591,32.0,428.0,92.0,2598,1
2019-11-24,1083,1130,212,16714,24.0,464.0,98.0,2598,1
2019-11-25,1562,1645,397,24675,57.0,628.0,124.0,2598,1
2019-11-26,1508,1569,403,24132,41.0,611.0,110.0,2598,1
2019-11-27,1354,1364,350,20515,30.0,497.0,109.0,2598,1
2019-11-28,1349,1379,310,19957,26.0,486.0,106.0,2598,1
2019-11-29,1123,1135,258,17527,33.0,432.0,87.0,2598,1
2019-11-30,1182,1170,333,14058,18.0,340.0,118.0,2598,1
2019-12-01,991,1004,247,13132,20.0,392.0,123.0,2598,1
2019-12-02,1826,1824,488,28227,30.0,689.0,227.0,2598,1
2019-12-03,1546,1564,320,23180,40.0,669.0,219.0,2598,1
2019-12-04,1516,1541,322,23575,25.0,697.0,244.0,2598,1
2019-12-05,1406,1401,265,20927,28.0,629.0,247.0,2598,1
2019-12-06,2194,2249,675,29666,45.0,829.0,278.0,2598,1
2019-12-07,1199,1225,326,20814,16.0,396.0,64.0,1290,1
2019-12-08,760,767,184,10792,14.0,299.0,81.0,1290,1
2019-12-09,1395,1436,389,18455,37.0,459.0,116.0,1290,1
2019-12-10,1189,1216,304,15722,21.0,426.0,119.0,1290,1
2019-12-11,1048,1060,256,13618,24.0,379.0,107.0,1290,1
2019-12-12,1034,1049,287,12619,18.0,327.0,116.0,1290,1
2019-12-13,845,865,212,11542,16.0,313.0,110.0,1290,1
2019-12-14,626,640,154,7313,15.0,190.0,83.0,1290,1
2019-12-15,581,591,145,7210,7.0,200.0,92.0,1290,1
2019-12-16,849,869,171,12849,11.0,309.0,109.0,1290,1
2019-12-17,905,931,235,12620,26.0,335.0,101.0,1290,1
2019-12-18,859,925,202,10758,37.0,315.0,107.0,1290,1
2019-12-19,992,1025,256,13580,33.0,358.0,144.0,1290,1
2019-12-20,946,1000,240,12625,18.0,326.0,110.0,1290,1
2019-12-21,1044,1098,243,14295,37.0,347.0,112.0,1290,1
2019-12-22,889,942,162,12611,37.0,449.0,198.0,1290,1
2019-12-23,901,955,234,13745,26.0,352.0,125.0,1290,1
2019-12-24,935,996,324,11816,15.0,352.0,143.0,1290,1
2019-12-25,487,515,110,6543,6.0,238.0,133.0,1290,1
2019-12-26,954,1035,239,14501,34.0,418.0,166.0,1290,1
2019-12-27,997,1012,246,14412,26.0,410.0,191.0,1290,1
2019-12-28,677,690,173,8387,21.0,280.0,146.0,1290,1
2019-12-29,935,993,308,10319,19.0,452.0,178.0,1290,1
2019-12-30,1116,1154,302,14327,26.0,494.0,223.0,1290,1
2019-12-31,49,49,49,106,72.0,276.0,165.0,1290,1
2020-01-01,1,1,1,2,38.0,169.0,174.0,1290,1
2020-01-02,1327,1447,465,18814,97.0,362.0,210.0,2150,1
2020-01-03,1915,2046,628,22411,63.0,262.0,210.0,2150,1
2020-01-04,1278,1316,313,15381,61.0,206.0,191.0,2150,1
2020-01-05,1223,1292,255,14210,50.0,174.0,232.0,2150,1
2020-01-06,1998,2145,483,24557,68.0,296.0,278.0,2150,1
2020-01-07,1858,1973,354,22195,44.0,415.0,316.0,2150,1
2020-01-08,1795,1905,352,20172,46.0,453.0,327.0,2150,1
2020-01-09,1915,2016,441,20148,40.0,487.0,412.0,2150,1
2020-01-10,2090,2210,469,22036,49.0,546.0,444.0,2150,1
2020-01-11,1374,1430,243,12498,23.0,365.0,374.0,2150,1
2020-01-12,1815,1865,336,20936,37.0,543.0,497.0,2150,1
2020-01-13,1982,2044,402,24347,25.0,387.0,122.0,1214,1
2020-01-14,2044,2110,550,23378,59.0,394.0,152.0,1214,1
2020-01-15,1705,1805,386,19591,47.0,228.0,139.0,1214,1
2020-01-16,2861,2970,733,36232,76.0,442.0,145.0,2358,1
2020-01-17,2059,2112,398,25873,60.0,559.0,147.0,2358,1
2020-01-18,1317,1347,234,13573,23.0,308.0,142.0,2358,1
2020-01-19,1274,1320,213,14344,26.0,297.0,146.0,2358,1
2020-01-20,2187,2259,417,27955,64.0,527.0,163.0,2358,1
2020-01-21,1942,1934,290,23490,40.0,453.0,188.0,2358,1
2020-01-22,1852,1871,307,19277,23.0,417.0,187.0,2358,1
2020-01-23,1451,1458,236,15763,18.0,349.0,191.0,2358,1
2020-01-24,980,950,117,11281,5.0,201.0,177.0,2358,1
2020-01-25,762,748,100,7277,7.0,117.0,147.0,2358,1
2020-01-26,833,820,73,9159,3.0,184.0,165.0,2358,1
2020-01-27,996,975,110,11114,10.0,193.0,228.0,2358,1
2020-01-28,1778,1761,258,18688,23.0,355.0,264.0,2358,1
2020-01-29,1814,1795,318,21293,17.0,345.0,306.0,2358,1
2020-01-30,2051,2026,378,21715,19.0,284.0,312.0,2358,1
2020-01-31,1737,1706,307,18988,18.0,244.0,296.0,2358,1
2020-02-01,1397,1407,206,16239,16.0,188.0,276.0,3269,1
2020-02-02,1393,1361,158,17156,16.0,216.0,328.0,3269,1
2020-02-03,1777,1788,238,22074,25.0,238.0,253.0,2409,1
2020-02-04,1863,1811,277,21119,26.0,246.0,313.0,2409,1
2020-02-05,1950,1917,400,19253,24.0,214.0,317.0,2409,1
2020-02-06,1618,1588,216,15707,19.0,316.0,269.0,2409,1
2020-02-07,1721,1706,330,18474,26.0,272.0,250.0,2409,1
2020-02-08,1296,1286,234,14990,5.0,192.0,268.0,2409,1
2020-02-09,1280,1254,189,14307,11.0,164.0,265.0,2409,1
2020-02-10,2011,2002,339,24303,20.0,301.0,351.0,2409,1
2020-02-11,1874,1854,353,20731,17.0,251.0,388.0,2409,1
2020-02-12,2022,1998,316,25121,20.0,336.0,392.0,2409,1
2020-02-13,1627,1606,253,24587,22.0,271.0,298.0,1265,1
2020-02-14,1614,1577,274,44685,18.0,229.0,260.0,1265,1
2020-02-15,1096,1044,156,34209,16.0,142.0,213.0,1265,1
2020-02-16,995,962,134,30153,9.0,143.0,234.0,1265,1
2020-02-17,1582,1550,204,51183,20.0,269.0,324.0,1265,1
2020-02-18,1616,1541,207,46926,13.0,247.0,346.0,1265,1
2020-02-19,1777,1724,313,48825,20.0,251.0,379.0,1265,1
2020-02-20,1708,1688,233,49236,8.0,242.0,349.0,1265,1
2020-02-21,1764,1735,295,50451,14.0,289.0,315.0,1265,1
2020-02-22,1298,1242,186,39821,11.0,159.0,228.0,1265,1
2020-02-23,1330,1264,201,35807,7.0,113.0,241.0,1265,1
2020-02-24,1594,1517,185,45622,8.0,160.0,212.0,1265,1
2020-02-25,1757,1693,259,53858,13.0,181.0,238.0,1265,1
2020-02-26,1738,1709,404,51426,26.0,173.0,123.0,1265,1
2020-02-27,1520,1481,277,47804,15.0,184.0,127.0,1265,1
2020-02-28,1596,1555,377,47179,12.0,141.0,131.0,1265,1
2020-02-29,1377,1377,326,41733,28.0,134.0,113.0,1265,1
2020-03-01,2048,1912,358,102774,39.0,317.0,99.0,2424,1
2020-03-02,2207,2091,340,86670,37.0,294.0,182.0,2424,1
2020-03-03,2013,1933,281,71337,32.0,246.0,165.0,2424,1
2020-03-04,1900,1797,278,71800,31.0,215.0,189.0,2424,1
2020-03-05,1864,1756,291,68730,17.0,202.0,187.0,2424,1
2020-03-06,2137,2045,508,73618,35.0,217.0,168.0,2424,1
2020-03-07,1473,1336,176,56377,22.0,151.0,157.0,2424,1
2020-03-08,1390,1307,164,46600,19.0,135.0,160.0,2424,1
2020-03-09,1831,1685,267,61554,17.0,151.0,204.0,2424,1
2020-03-10,1763,1695,280,59408,20.0,168.0,208.0,2424,1
2020-03-11,1692,1586,214,55034,24.0,134.0,212.0,2424,1
2020-03-12,1642,1544,203,55093,12.0,154.0,206.0,2424,1
2020-03-13,1596,1502,185,48260,11.0,141.0,216.0,2424,1
2020-03-14,1111,1028,138,36085,12.0,96.0,190.0,2424,1
2020-03-15,1218,1156,147,38610,13.0,127.0,227.0,2424,1
2020-03-16,1748,1701,271,50204,23.0,180.0,239.0,2424,1
2020-03-17,1868,1787,322,61204,35.0,193.0,275.0,2424,1
2020-03-18,2135,2059,504,66750,31.0,182.0,246.0,2424,1
2020-03-19,1900,1809,322,57965,30.0,183.0,298.0,2424,1
2020-03-20,2495,2409,659,76833,28.0,220.0,286.0,2424,1
2020-03-21,1736,1656,427,58757,29.0,170.0,210.0,2070,1
2020-03-22,1396,1322,278,44061,21.0,130.0,152.0,2070,1
2020-03-23,2565,2514,761,77935,43.0,240.0,224.0,2070,1
2020-03-24,1977,1963,517,66570,41.0,220.0,235.0,2070,1
2020-03-25,1691,1663,363,54952,33.0,199.0,226.0,2070,1
2020-03-26,1708,1644,348,52183,27.0,181.0,220.0,2070,1
2020-03-27,1565,1460,266,49518,25.0,165.0,210.0,2070,1
2020-03-28,1405,1344,238,45356,33.0,154.0,228.0,2070,1
2020-03-29,1375,1324,202,50455,23.0,194.0,233.0,3821,1
2020-03-30,1780,1712,350,56298,28.0,202.0,233.0,3821,1
2020-03-31,1896,1823,373,59278,26.0,214.0,241.0,3821,1
2020-04-01,1743,1651,279,60611,17.0,182.0,230.0,4620,1
2020-04-02,1721,1607,280,59586,17.0,155.0,240.0,4620,1
2020-04-03,1597,1509,296,49443,18.0,173.0,202.0,4620,1
2020-04-04,1341,1277,254,35148,15.0,105.0,197.0,4620,1
2020-04-05,1344,1308,256,39199,22.0,110.0,207.0,4620,1
2020-04-06,1669,1593,300,45986,23.0,177.0,230.0,4620,1
2020-04-07,1745,1677,327,43866,16.0,165.0,266.0,4620,1
2020-04-08,1773,1733,294,51278,24.0,167.0,302.0,4620,1
2020-04-09,1603,1530,255,41527,19.0,160.0,287.0,4620,1
2020-04-10,1521,1447,275,41361,23.0,138.0,220.0,4620,1
2020-04-11,1561,1493,326,43700,10.0,128.0,230.0,4620,1
2020-04-12,1689,1658,379,46070,17.0,147.0,258.0,4620,1
2020-04-13,2354,2282,543,72775,38.0,237.0,324.0,4620,1
2020-04-14,1691,1626,324,50851,20.0,135.0,136.0,3443,1
2020-04-15,1510,1451,253,49715,29.0,171.0,143.0,3443,1
2020-04-16,1630,1602,297,48655,30.0,152.0,96.0,2550,1
2020-04-17,1470,1416,277,41417,20.0,163.0,83.0,2550,1
2020-04-18,1152,1160,195,33392,25.0,117.0,65.0,2550,1
2020-04-19,1111,1076,215,31101,26.0,98.0,67.0,2550,1
2020-04-20,1497,1435,331,40763,38.0,121.0,71.0,2550,1
2020-04-21,1815,1813,500,50273,70.0,207.0,78.0,2550,1
2020-04-22,1883,1850,523,49426,53.0,147.0,51.0,2550,1
2020-04-23,2124,2122,683,52517,52.0,188.0,62.0,2550,1
2020-04-24,1339,1288,309,35259,17.0,96.0,56.0,2550,1
2020-04-25,1096,1078,244,27963,22.0,105.0,74.0,2550,1
2020-04-26,1160,1160,249,30931,41.0,114.0,73.0,2550,1
2020-04-27,1713,1662,383,46874,42.0,142.0,76.0,2550,1
2020-04-28,2061,2008,756,47382,35.0,142.0,101.0,2550,1
2020-04-29,1685,1702,510,45749,64.0,181.0,60.0,2550,1
2020-04-30,1321,1309,442,30453,34.0,84.0,46.0,2550,1
2020-05-01,1127,1070,247,33464,19.0,106.0,80.0,2973,1
2020-05-02,1060,1030,243,32806,22.0,116.0,68.0,2973,1
2020-05-03,1047,1025,207,29410,20.0,111.0,56.0,2973,1
2020-05-04,1347,1307,324,34684,25.0,121.0,67.0,2973,1
2020-05-05,1221,1226,275,32828,35.0,126.0,71.0,2973,1
2020-05-06,1917,1869,516,46712,40.0,179.0,76.0,2973,1
2020-05-07,2236,2258,762,51061,63.0,210.0,105.0,2973,1
2020-05-08,1607,1582,431,40294,58.0,160.0,68.0,2973,1
2020-05-09,1120,1088,208,31543,43.0,114.0,50.0,2973,1
2020-05-10,1736,1825,520,54904,98.0,326.0,78.0,2973,1
2020-05-11,1550,1538,398,44425,38.0,137.0,64.0,1222,1
2020-05-12,1447,1390,342,46563,38.0,147.0,87.0,1222,1
2020-05-13,1255,1237,296,34473,29.0,150.0,68.0,1222,1
2020-05-14,1487,1459,393,43924,41.0,169.0,100.0,1222,1
2020-05-15,1959,1891,729,60553,65.0,198.0,124.0,2001,1
2020-05-16,1285,1232,326,35491,30.0,100.0,103.0,2001,1
2020-05-17,1275,1227,310,37153,33.0,121.0,115.0,2001,1
2020-05-18,3010,2947,1169,80906,75.0,217.0,173.0,2001,1
2020-05-19,2935,2855,1058,78090,67.0,231.0,234.0,2001,1
2020-05-20,2592,2489,712,75752,68.0,228.0,233.0,2001,1
2020-05-21,2473,2392,626,65216,51.0,188.0,233.0,2001,1
2020-05-22,2189,2094,498,60298,39.0,175.0,235.0,2001,1
2020-05-23,1761,1648,315,43654,24.0,133.0,252.0,2001,1
2020-05-24,2098,2002,350,57426,42.0,187.0,307.0,2001,1
2020-05-25,2960,2795,705,85770,53.0,253.0,381.0,2001,1
2020-05-26,2410,2343,673,67481,33.0,174.0,150.0,779,1
2020-05-27,1954,1917,533,49122,30.0,137.0,130.0,779,1
2020-05-28,1895,1822,620,50110,39.0,154.0,124.0,779,1
2020-05-29,1685,1626,435,47321,38.0,119.0,124.0,779,1
2020-05-30,1370,1310,366,37766,21.0,101.0,165.0,779,1
2020-05-31,1414,1359,384,36745,25.0,165.0,124.0,779,1
2020-06-01,3096,3057,870,104384,80.0,338.0,247.0,2099,1
2020-06-02,2853,2741,699,85997,62.0,243.0,246.0,2099,1
2020-06-03,2343,2237,511,64026,45.0,183.0,217.0,2099,1
2020-06-04,2485,2403,596,75353,58.0,267.0,238.0,2099,1
2020-06-05,1882,1761,352,54683,24.0,131.0,195.0,2099,1
2020-06-06,1665,1593,346,40387,25.0,135.0,170.0,2099,1
2020-06-07,1636,1604,344,45803,21.0,161.0,259.0,2099,1
2020-06-08,2405,2312,472,69993,58.0,241.0,304.0,2099,1
2020-06-09,2605,2418,476,76345,27.0,194.0,352.0,2099,1
2020-06-10,2445,2298,466,68440,25.0,179.0,316.0,2099,1
2020-06-11,2378,2268,453,63529,25.0,192.0,321.0,2099,1
2020-06-12,1770,1694,344,44660,29.0,123.0,260.0,2099,1
2020-06-13,1317,1247,292,33178,13.0,94.0,207.0,2099,1
2020-06-14,1421,1372,277,35045,16.0,111.0,211.0,2099,1
2020-06-15,2356,2297,510,62705,45.0,206.0,277.0,2099,1
2020-06-16,2617,2509,612,75753,60.0,231.0,302.0,2099,1
2020-06-17,2266,2205,458,61875,40.0,202.0,296.0,2099,1
2020-06-18,2065,1997,481,60152,29.0,197.0,239.0,2099,1
2020-06-19,2014,2028,541,55738,78.0,230.0,225.0,2099,1
2020-06-20,1621,1607,336,48171,53.0,256.0,323.0,2099,1
2020-06-21,1582,1530,283,50831,31.0,177.0,300.0,2099,1
2020-06-22,3251,3152,779,98749,70.0,342.0,348.0,3637,1
2020-06-23,2897,2751,516,92656,54.0,371.0,434.0,3637,1
2020-06-24,2578,2475,503,76109,48.0,257.0,440.0,3637,1
2020-06-25,2413,2311,464,67215,28.0,249.0,328.0,4078,1
2020-06-26,2558,2474,474,81182,46.0,276.0,357.0,4078,1
2020-06-27,1804,1689,332,53332,14.0,192.0,361.0,3299,1
2020-06-28,1905,1836,378,54868,24.0,135.0,316.0,3299,1
2020-06-29,2974,2848,546,98397,69.0,366.0,528.0,3299,1
2020-06-30,2729,2576,476,88129,44.0,298.0,485.0,3299,1
2020-07-01,2924,2728,608,99440,48.0,309.0,399.0,4627,1
2020-07-02,2781,2647,582,87311,54.0,240.0,325.0,4627,1
2020-07-03,2412,2343,507,73757,52.0,220.0,228.0,4627,1
2020-07-04,1662,1615,311,49138,25.0,137.0,276.0,4627,1
2020-07-05,1707,1639,299,54594,31.0,193.0,267.0,4627,1
2020-07-06,2611,2535,527,81330,33.0,280.0,309.0,4627,1
2020-07-07,2940,2912,628,84445,60.0,330.0,340.0,4627,1
2020-07-08,3398,3313,731,107627,79.0,459.0,432.0,4627,1
2020-07-09,2833,2744,572,84108,60.0,295.0,278.0,4627,1
2020-07-10,2606,2493,551,72665,55.0,225.0,271.0,4627,1
2020-07-11,1774,1729,308,61681,32.0,182.0,314.0,3962,1
2020-07-12,1619,1528,255,52679,17.0,173.0,277.0,3962,1
2020-07-13,3431,3284,811,107344,71.0,308.0,402.0,3962,1
2020-07-14,3207,3119,817,101572,67.0,321.0,247.0,4919,1
2020-07-15,2786,2700,576,86167,65.0,257.0,273.0,4919,1
2020-07-16,2792,2678,569,88498,79.0,283.0,274.0,4919,1
2020-07-17,2454,2405,528,76286,70.0,286.0,248.0,4919,1
2020-07-18,2043,1754,330,74534,31.0,188.0,657.0,4919,1
2020-07-19,1589,1518,301,47833,26.0,138.0,141.0,4919,1
2020-07-20,2757,2650,536,83880,63.0,284.0,255.0,4919,1
2020-07-21,2552,2447,523,72389,52.0,213.0,219.0,4919,1
2020-07-22,2600,2519,603,74495,61.0,237.0,235.0,4919,1
2020-07-23,2500,2457,531,66795,65.0,228.0,185.0,4919,1
2020-07-24,2165,2139,457,55962,42.0,208.0,190.0,4919,1
2020-07-25,1712,1748,397,47784,74.0,221.0,103.0,4919,1
2020-07-26,2144,2163,530,63167,107.0,266.0,122.0,4919,1
2020-07-27,4046,4103,1119,118199,188.0,459.0,276.0,4919,1
2020-07-28,3806,3810,1020,105050,153.0,403.0,256.0,4919,1
2020-07-29,3267,3183,775,84898,86.0,290.0,250.0,4919,1
2020-07-30,4158,4280,1234,102554,206.0,476.0,216.0,4919,1
2020-07-31,5022,5400,1691,155435,454.0,871.0,261.0,4919,1
2020-08-01,1636,1637,453,35973,32.0,119.0,57.0,1398,1
2020-08-02,1354,1338,335,30847,18.0,108.0,43.0,1398,1
2020-08-03,2661,2645,774,74060,88.0,262.0,227.0,2343,1
2020-08-04,2720,2670,735,75072,81.0,276.0,237.0,2343,1
2020-08-05,2884,2945,906,74881,70.0,299.0,177.0,2343,1
2020-08-06,2446,2433,639,60884,58.0,238.0,145.0,2343,1
2020-08-07,2548,2455,592,74963,64.0,211.0,206.0,2343,1
2020-08-08,1321,1314,277,35735,24.0,119.0,130.0,2343,1
2020-08-09,1535,1503,306,38886,22.0,129.0,148.0,2343,1
2020-08-10,2890,2826,624,74956,40.0,291.0,203.0,2343,1
2020-08-11,2593,2652,655,67628,77.0,307.0,196.0,2343,1
2020-08-12,2477,2391,625,65783,50.0,243.0,199.0,2343,1
2020-08-13,2054,2018,563,42429,45.0,175.0,231.0,2343,1
2020-08-14,2312,2225,529,57620,48.0,186.0,193.0,2343,1
